Code article;Désignation;Marque;Famille;Uvc;TVA;Prix d'achat;Marge;Prix de vente HT;Emplacement;Compte comptable achat;Compte comptable vente;Code barre;Code barre Fabricant;Stock
CPBI;CALE PARE BRISE INF;DIVERS;DIVERS;;20;0,00 €;100;0;;607;707;;;0
CPBS;CALE PARE BRISE SUP;DIVERS;DIVERS;;20;0,00 €;100;0;;607;707;;;0
PBV;PARE BRISE VERT MAN TGX;DIVERS;DIVERS;;20;0,00 €;100;436;;607;707;;;0
PBVC;PARE BRISE VERT CAPTEUR ATHERMIQUE;DIVERS;DIVERS;;20;0,00 €;100;0;;607;707;;;0
JPBI;JOINT PARE BRISE INF;DIVERS;DIVERS;;20;0,00 €;100;0;;607;707;;;0
GC;GEL CAPTEUR;DIVERS;DIVERS;;20;0,00 €;100;20;;607;707;;;-2
IBC;INTERROGATION BASE CONSTRUCTEUR IDENTIFICATION ( XGLASS SIDEXA);DIVERS;DIVERS;;20;0,00 €;0;4.9;;607;707;;;0
JPBS;JOINT PARE BRISE SUPP;DIVERS;DIVERS;;20;0,00 €;100;0;;607;707;;;0
CPB;KIT COLLAGE PARE BRISE ;DIVERS;DIVERS;;20;0,00 €;100;59;;607;707;;;0
NBG;NETTOYAGE BRIS DE GLACE 0.15 T1 (TROUS EVACUATION BAIE PLANCHE DE BORD ET SOL );DIVERS;DIVERS;;20;0,00 €;100;10.35;;607;707;;;0
PC;PRODUITS CONNEXES;DIVERS;DIVERS;;20;0,00 €;100;7;;607;707;;;-29
RD;RETRAITEMENT DE DECHETS;DIVERS;DIVERS;;20;0,00 €;100;5;;607;707;;;-14
PBA;PARE BRISE ATHERMIQUE;DIVERS;DIVERS;;20;0,00 €;100;0;;607;707;;;0
ENJ;ENJOLIVEUR PARE BRISE;DIVERS;DIVERS;;20;0,00 €;100;0;;607;707;;;0
DMECA;DIVERS MECANIQUE;DIVERS;DIVERS;;20;0,00 €;100;0;;607;707;;;0
CALES;CALES PARE BRISE;DIVERS;DIVERS;;20;0,00 €;100;0;;607;707;;;0
lu;lunette arr vert;DIVERS;DIVERS;;20;0,00 €;100;0;;607;707;;;0
ENJ;enjkit enjoliveur pare brise;DIVERS;DIVERS;;20;0,00 €;100;0;;607;707;;;0
ENJ;enjolieur g pare brise;DIVERS;DIVERS;;20;0,00 €;100;0;;607;707;;;0
KT;KIT EJOLIEUR;DIVERS;DIVERS;;20;0,00 €;100;0;;607;707;;;0
PBVAC;PARE BRISE VERT ACOUSTIQUE CAPTEUR ;DIVERS;DIVERS;;20;0,00 €;100;0;;607;707;;;0
7700823022;PARE-BRISE V;RENAULT;DIVERS;Unitaire;20;0,00 €;0;354.91;;607;707;;;0
Retraitement des déchets;Retraitement des déchets;DIVERS;DIVERS;Lot;20;0,00 €;0;5;;607;707;;;-1004
00008120CY;AGRAFE ENJOLIVEUR P/B (INF COTE DROIT);PEUGEOT;DIVERS;Unitaire;20;0,00 €;0;4.03;;607;707;;;0
9670371580;AGRAFE ENJOLIVEUR P/B (INF COTE GAUCHE);PEUGEOT;DIVERS;Unitaire;20;0,00 €;0;4.03;;607;707;;;0
6562AGAGMVZ2B;Pare-brise vert;PILKINGTON;DIVERS;Unitaire;20;0,00 €;0;628.43;;607;707;;;-6
IBC;Interrogation base du constructeur pour identification (1);DIVERS;;;20;0,00 €;0;4.9;;607;707;;;0
2216708101;KIT COLLAGE PARE-BRISE;MERCEDES;DIVERS;Unitaire;20;0,00 €;0;56.86;;607;707;;;0
5358AGSMV1B;Pare-brise vert solar;PILKINGTON;DIVERS;Unitaire;20;0,00 €;0;236.42;;607;707;;;0
00008120X4;ENJOLIVEUR SUP PARE-BRISE (TOIT TOLE);PEUGEOT;DIVERS;Unitaire;20;0,00 €;0;32.62;;607;707;;;-2
