SalesKey,DateKey,SalesQuantity,SaleAmount,ProfitAmount,Region,States,ProductName,ProductCategoryName,ProductSubcategoryName,Feedback
1,2018-08-30,1,76.39,100.0,93390,CLICHY SOUS BOIS,DIVERS,DIVERS,2 pneus 195/65/15,9
4,2019-04-12,1,58.33,0.0,77600,BUSSY ST GEORGES,DIVERS,DIVERS,1 VITRE AV GAUCHE,6
5,2019-06-08,1,97.22,100.0,93300,AUBERVILLIERS,DIVERS,DIVERS,2 PNEUS 205/60/16,5
6,2019-07-17,1,361.73,100.0,93200,ST DENIS,DIVERS,DIVERS,PIED ARD,5
7,2019-11-04,1,8.03,100.0,44400,REZE,DIVERS,DIVERS,ENTRETOISE,1
7,2019-11-04,1,100.82,0.0,44400,REZE,DIVERS,RENAULT,JOINT INF LUNETTE (MOBILE),1
8,2019-12-17,1,41.67,100.0,93800,EPINAY SUR SEINE,DIVERS,DIVERS,PLAQUETTE AR,3
8,2019-12-17,1,299.62,0.0,93800,EPINAY SUR SEINE,DIVERS,VOLKSWAGEN,PARE-BRISE V ATHERMIQUE (+EMB/INTERM.4V/TOIT STAND),3
10,2020-04-27,1,125.0,100.0,93100,MONTREUIL,DIVERS,DIVERS,COUPELLE AMORTISSEUR ,0
12,2020-12-01,1,309.12,100.0,95360,MONTMAGNY,DIVERS,DIVERS,PARE BRISE SCANIA,1
13,2021-02-22,1,169.88,100.0,93380,PIERREFITTE SUR SEINE,DIVERS,DIVERS,PARE BRISE BMW SERIE 3 CAPT PLUIE CAM 2465AGSCMUV3P,7
14,2021-05-17,1,609.47,0.0,93380,PIERREFITTE SUR SEINE,DIVERS,PILKINGTON,Pare-brise vert solar,5
18,2022-06-17,1,183.33,100.0,93200,ST DENIS,DIVERS,DIVERS,MAIN D'OEUVRE,3
18,2022-06-17,1,11.14,0.0,93200,ST DENIS,DIVERS,VOLKSWAGEN,ENJOLIVEUR G PARE-BRISE,3
23,2023-08-28,1,11.98,100.0,95470,ST WITZ,DIVERS,DIVERS,DEFLECTEUR ARRIERE GAUCHE VERT FIAT TIPO 4P 16-  3375LGSS4RV,7
23,2023-08-28,1,437.5,100.0,95470,ST WITZ,DIVERS,DIVERS,REPARATION FAP SUR OPEL MOVANO  MAIN D'OEUVRE,7
27,2018-04-03,4,6.94,100.0,93240,STAINS,DIVERS,DIVERS,REPARATION PNEU,2
28,2018-06-09,1,116.67,100.0,93430,VILLETANEUSE,DIVERS,DIVERS,Un déflecteur ARD golf 6,0
28,2018-06-09,2,694.0,0.0,93430,VILLETANEUSE,DIVERS,PEUGEOT,PARE-BRISE V ATHERMIQUE CAPTEUR PLUIE (ACOUSTIQUE),0
29,2018-09-01,1,191.94,100.0,95360,MONTMAGNY,DIVERS,DIVERS,PARE BRISE VERT IVECO,4
30,2018-11-26,1,661.13,0.0,75012,PARIS 12EME ARRONDISSEMENT,DIVERS,PEUGEOT,PARE-BRISE V ATHERMIQUE CAPTEUR PLUIE (YC JT/ACOUSTIQUE),2
30,2018-11-26,1,347.33,0.0,75012,PARIS 12EME ARRONDISSEMENT,DIVERS,FIAT,PARE-BRISE V (AVEC MIROI.SURVEIL.ENFANT),2
32,2019-06-08,1,27.78,100.0,93370,MONTFERMEIL,DIVERS,DIVERS,1 pneu 215/55/17,2
32,2019-06-08,1,71.67,100.0,93370,MONTFERMEIL,DIVERS,DIVERS,REMPLACEMENT PARE-BRISE MERCEDES ATEGO ,2
33,2019-07-17,1,494.44,0.0,95200,SARCELLES,DIVERS,PEUGEOT,PARE-BRISE V (REF.SOLEIL/REGARD.VIN),8
34,2019-09-09,1,407.6,0.0,93000,BOBIGNY,DIVERS,PILKINGTON (EUROCODE),Pare-brise clair,9
