ProductSubcategoryName,ProductCategoryName,ProductName,ProfitAmount,SaleAmount,SalesQuantity,ArticleKey
CALE PARE BRISE INF,DIVERS,DIVERS,100.0,0.0,0.0,0
CALE PARE BRISE SUP,DIVERS,DIVERS,100.0,0.0,0.0,1
PARE BRISE VERT MAN TGX,DIVERS,DIVERS,100.0,363.33333333333337,0.0,2
PARE BRISE VERT CAPTEUR ATHERMIQUE,DIVERS,DIVERS,100.0,0.0,0.0,3
JOINT PARE BRISE INF,DIVERS,DIVERS,100.0,0.0,0.0,4
GEL CAPTEUR,DIVERS,DIVERS,100.0,16.666666666666668,2.0,5
INTERROGATION BASE CONSTRUCTEUR IDENTIFICATION ( XGLASS SIDEXA),DIVERS,DIVERS,0.0,4.083333333333334,0.0,6
JOINT PARE BRISE SUPP,DIVERS,DIVERS,100.0,0.0,0.0,7
KIT COLLAGE PARE BRISE ,DIVERS,DIVERS,100.0,49.16666666666667,0.0,8
NETTOYAGE BRIS DE GLACE 0.15 T1 (TROUS EVACUATION BAIE PLANCHE DE BORD ET SOL ),DIVERS,DIVERS,100.0,8.625,0.0,9
PRODUITS CONNEXES,DIVERS,DIVERS,100.0,5.833333333333334,29.0,10
RETRAITEMENT DE DECHETS,DIVERS,DIVERS,100.0,4.166666666666667,14.0,11
PARE BRISE ATHERMIQUE,DIVERS,DIVERS,100.0,0.0,0.0,12
ENJOLIVEUR PARE BRISE,DIVERS,DIVERS,100.0,0.0,0.0,13
DIVERS MECANIQUE,DIVERS,DIVERS,100.0,0.0,0.0,14
CALES PARE BRISE,DIVERS,DIVERS,100.0,0.0,0.0,15
lunette arr vert,DIVERS,DIVERS,100.0,0.0,0.0,16
enjkit enjoliveur pare brise,DIVERS,DIVERS,100.0,0.0,0.0,17
enjolieur g pare brise,DIVERS,DIVERS,100.0,0.0,0.0,18
KIT EJOLIEUR,DIVERS,DIVERS,100.0,0.0,0.0,19
PARE BRISE VERT ACOUSTIQUE CAPTEUR ,DIVERS,DIVERS,100.0,0.0,0.0,20
PARE-BRISE V,RENAULT,DIVERS,0.0,295.7583333333334,0.0,21
Retraitement des déchets,DIVERS,DIVERS,0.0,4.166666666666667,1004.0,22
AGRAFE ENJOLIVEUR P/B (INF COTE DROIT),PEUGEOT,DIVERS,0.0,3.358333333333334,0.0,23
AGRAFE ENJOLIVEUR P/B (INF COTE GAUCHE),PEUGEOT,DIVERS,0.0,3.358333333333334,0.0,24
Pare-brise vert,PILKINGTON,DIVERS,0.0,523.6916666666666,6.0,25
KIT COLLAGE PARE-BRISE,MERCEDES,DIVERS,0.0,47.38333333333333,0.0,26
Pare-brise vert solar,PILKINGTON,DIVERS,0.0,197.01666666666665,0.0,27
ENJOLIVEUR SUP PARE-BRISE (TOIT TOLE),PEUGEOT,DIVERS,0.0,27.183333333333334,2.0,28
ENJOLIVEUR SUP PARE-BRISE (TOIT TOLE),PEUGEOT,DIVERS,0.0,39.71666666666667,0.0,29
KIT COLLAGE RAPIDE PARE-BRISE (ULTRA RAPIDE),PEUGEOT,DIVERS,0.0,43.016666666666666,0.0,30
PARE-BRISE V (TOIT TOLE),PEUGEOT,DIVERS,0.0,466.5083333333333,1.0,31
Pare-brise vert,PILKINGTON,DIVERS,0.0,161.08333333333334,0.0,32
CALE INF PARE-BRISE,PEUGEOT,DIVERS,0.0,1.225,0.0,33
PARE-BRISE V,PEUGEOT,DIVERS,0.0,277.6333333333334,0.0,34
Pare-brise vert,PILKINGTON,DIVERS,0.0,390.1,5.0,35
Pare-brise vert solar,PILKINGTON,DIVERS,0.0,399.025,0.0,36
Pare-brise clair,PILKINGTON,DIVERS,0.0,336.31666666666666,0.0,37
Glace de porte ARD verte,PILKINGTON,DIVERS,0.0,102.59166666666667,0.0,38
COURROIE ACCESOIR,DIVERS,DIVERS,100.0,0.0,2.0,39
DISQUES DE FREINS,DIVERS,DIVERS,100.0,0.0,0.0,40
PLAQUETTES DE FREINS,DIVERS,DIVERS,100.0,0.0,0.0,41
KIT DISTRIBUTION AVEC POMPE A EAU,DIVERS,DIVERS,100.0,0.0,1.0,42
VIDANGE COMPLETE INTEGRALE 5W30 ,DIVERS,DIVERS,100.0,92.36108333333333,0.0,43
JOINT PARE-BRISE,MERCEDES,DIVERS,0.0,28.608333333333334,2.0,44
Pare-brise vert dégradé vert,PILKINGTON,DIVERS,0.0,258.33333333333337,0.0,45
vitre av gauche clio 3,DIVERS,DIVERS,100.0,0.0,0.0,46
vidange complete integrale 5w40,DIVERS,DIVERS,100.0,0.0,0.0,47
joint injecteur,DIVERS,DIVERS,100.0,0.0,0.0,48
pare brise athermique capteur,DIVERS,DIVERS,100.0,0.0,0.0,49
ENJOLIVEUR PARE-BRISE,RENAULT,DIVERS,0.0,24.983333333333334,2.0,50
Pare-brise vert,PILKINGTON,DIVERS,0.0,131.66666666666669,0.0,51
Pare-brise vert,PILKINGTON,DIVERS,0.0,585.5833333333334,1.0,52
ENJOLIVEUR PARE-BRISE,CITROEN,DIVERS,0.0,64.61666666666667,1.0,53
Pare-brise vert solar,PILKINGTON,DIVERS,0.0,215.83333333333334,0.0,54
JOINT PARE-BRISE SUP,MERCEDES,DIVERS,0.0,9.233333333333334,0.0,55
Pare-brise bleu,PILKINGTON,DIVERS,0.0,236.1916666666667,0.0,56
ENJOLIVEUR  RETROVISEUR INT,RENAULT,DIVERS,0.0,21.383333333333333,0.0,57
JOINT PARE-BRISE,RENAULT,DIVERS,0.0,16.758333333333333,8.0,58
Pare-brise vert,PILKINGTON,DIVERS,0.0,512.6833333333334,7.0,59
PARE-BRISE V ATHERMIQUE CAPTEUR PLUIE (+EMB/ASSIST.MAINTIEN-VOIE),VOLKSWAGEN,DIVERS,0.0,529.25,0.0,60
DEFLECTEUR AVANT GAUCHE,DIVERS,DIVERS,100.0,0.0,0.0,61
DEFLECTEUR AVANT DROIT ,DIVERS,DIVERS,100.0,0.0,0.0,62
MO DEFLECTEUR OFFERT,DIVERS,DIVERS,100.0,0.0,0.0,63
PARE-BRISE V ATHERMIQUE CAPTEUR PLUIE (YC EMBASE RETRO INT),VOLKSWAGEN,DIVERS,0.0,601.6666666666667,1.0,64
PARE-BRISE V,LANCIA,DIVERS,0.0,216.71666666666667,0.0,65
JOINT PARE-BRISE,CITROEN,DIVERS,0.0,58.525000000000006,5.0,66
JOINT PARE-BRISE INF (INTERIEUR),CITROEN,DIVERS,0.0,47.24166666666667,0.0,67
PARE-BRISE V ATHERMIQUE (INTERMITTENT REGLABLE),CITROEN,DIVERS,0.0,371.7583333333334,0.0,68
195/60/15,DIVERS,DIVERS,100.0,187.5,0.0,69
MONTAGE ET PNEUS 185/65/15,DIVERS,DIVERS,100.0,76.38891666666667,0.0,70
PARE-BRISE V (YC JOINTS),CITROEN,DIVERS,0.0,261.6666666666667,0.0,71
Pare-brise vert dégradé gris,PILKINGTON,DIVERS,0.0,583.6666666666666,0.0,72
JOINT PARE-BRISE,PEUGEOT,DIVERS,0.0,76.61666666666667,1.0,73
PARE-BRISE V ATHERMIQUE (YC JT+CALES/REFLECHISSANT),PEUGEOT,DIVERS,0.0,246.75000000000003,0.0,74
JOINT SUP PARE-BRISE,FORD (EU),DIVERS,0.0,69.45,0.0,75
PARE-BRISE V ATHERMIQ CHAUFFAN-CAPT/PLUIE (YC EMB.RETRO+ENJOLS),FORD (EU),DIVERS,0.0,937.1166666666667,0.0,76
Pare-brise vert solar,PILKINGTON,DIVERS,0.0,471.6666666666667,4.0,77
KIT JOINTS PARE-BRISE,CITROEN,DIVERS,0.0,63.025,2.0,78
PARE-BRISE V (YC JT+CALES),CITROEN,DIVERS,0.0,296.825,2.0,79
RETROVISEUR GAUCHE,DIVERS,DIVERS,100.0,0.0,0.0,80
Pare-brise vert,PILKINGTON,DIVERS,0.0,316.625,0.0,81
GEL CAPTEUR,DIVERS,DIVERS,0.0,16.666666666666668,571.0,82
INTERROGATION BASE CONSTRUCTEUR IDENTIFICATION,DIVERS,DIVERS,0.0,4.083333333333334,0.0,83
KIT COLLAGE 400ML,DIVERS,DIVERS,0.0,49.16666666666667,36.0,84
NETTOYAGE BRIS DE GLACE 0.15h T1 (TROUS ÉVACUATION BAIE PLANCHE DE BORD ET SOL ),DIVERS,DIVERS,0.0,8.625,0.0,85
PRODUITS CONNEXES,DIVERS,DIVERS,0.0,5.833333333333334,1051.0,86
Pare-brise vert solar,PILKINGTON,DIVERS,0.0,288.14166666666665,1.0,87
Pare-brise vert solar,PILKINGTON,DIVERS,0.0,197.85,0.0,88
pare brise vert solaire,DIVERS,DIVERS,100.0,0.0,0.0,89
Pare-brise clair dégradé bleu,PILKINGTON,DIVERS,0.0,419.58333333333337,0.0,90
PARE-BRISE V ATHERMIQUE CAPTEUR PLUIE (YC JT/ACOUSTIQUE),PEUGEOT,DIVERS,0.0,636.1333333333333,1.0,91
ENJOLIVEUR SUP PARE-BRISE,RENAULT,DIVERS,0.0,14.683333333333335,1.0,92
JOINT PARE-BRISE,RENAULT,DIVERS,0.0,32.125,4.0,93
Pare-brise vert dégradé vert,PILKINGTON,DIVERS,0.0,219.98333333333335,1.0,94
Pare-brise vert,PILKINGTON,DIVERS,0.0,250.11666666666667,0.0,95
DISQUES DE FREIN AVANT,DIVERS,DIVERS,100.0,0.0,0.0,96
Pare-brise clair,PILKINGTON,DIVERS,0.0,289.48333333333335,0.0,97
PARE-BRISE (CLAIR),MERCEDES,DIVERS,0.0,175.08333333333334,0.0,98
VIDANGE COMPLETTE 4 FILTRES,DIVERS,DIVERS,100.0,0.0,0.0,99
OFFRE ILLICADO,DIVERS,DIVERS,100.0,0.0,0.0,100
Pare-brise vert,PILKINGTON,DIVERS,0.0,353.62500000000006,0.0,101
PARE BRISE ACC DET PLUIS GPS,DIVERS,DIVERS,100.0,0.0,0.0,102
AVOIR SUR FACTURE 33 ERREUR SAISIE CLIENT,DIVERS,DIVERS,100.0,759.5833333333334,0.0,103
