States,Region,SalesKey,Civilité,Feedback,DateKey
RUEIL MALMAISON,92500,0,3,9,2018-06-09
CLICHY SOUS BOIS,93390,1,3,9,2018-08-30
ORLEANS,45000,2,2,8,2018-11-26
VILLEPINTE,93420,3,1,1,2019-01-30
BUSSY ST GEORGES,77600,4,3,6,2019-04-12
AUBERVILLIERS,93300,5,3,5,2019-06-08
ST DENIS,93200,6,1,5,2019-07-17
REZE,44400,7,2,1,2019-11-04
EPINAY SUR SEINE,93800,8,3,3,2019-12-17
ST BRICE SOUS FORET,95350,9,5,7,2020-02-05
MONTREUIL,93100,10,3,0,2020-04-27
BOBIGNY,93000,11,5,3,2020-06-02
MONTMAGNY,95360,12,3,1,2020-12-01
PIERREFITTE SUR SEINE,93380,13,1,7,2021-02-22
PIERREFITTE SUR SEINE,93380,14,3,5,2021-05-17
ST DENIS,93200,15,5,9,2021-07-26
SARCELLES,95200,16,1,3,2021-10-08
DRANCY,93700,17,3,8,2022-03-31
ST DENIS,93200,18,3,3,2022-06-17
GENNEVILLIERS,92230,19,3,5,2022-09-29
LE BLANC MESNIL,93150,20,3,9,2023-01-30
BAGNOLET,93170,21,3,0,2023-04-17
PARIS 19EME ARRONDISSEMENT,75019,22,3,2,2023-06-21
ST WITZ,95470,23,3,7,2023-08-28
ASNIERES SUR SEINE,92600,24,3,5,2023-10-26
PIERREFITTE SUR SEINE,93380,25,1,10,2024-02-10
GARGES LES GONESSE,95140,26,3,5,2024-05-16
STAINS,93240,27,3,2,2018-04-03
VILLETANEUSE,93430,28,3,0,2018-06-09
MONTMAGNY,95360,29,3,4,2018-09-01
PARIS 12EME ARRONDISSEMENT,75012,30,3,2,2018-11-26
VILLEPARISIS,77270,31,3,9,2019-01-30
MONTFERMEIL,93370,32,1,2,2019-06-08
SARCELLES,95200,33,3,8,2019-07-17
BOBIGNY,93000,34,3,9,2019-09-09
ST CYR L ECOLE,78210,35,5,2,2019-11-05
DOMONT,95330,36,3,0,2019-12-17
DRANCY,93700,37,3,1,2020-08-31
GARGES LES GONESSE,95140,38,3,5,2020-12-01
BELLE EGLISE,60540,39,3,3,2021-02-23
VILLEPINTE,93420,40,3,8,2021-05-17
CLICHY,92110,41,3,10,2021-07-27
BOBIGNY,93000,42,3,8,2021-10-08
LES CLAYES SOUS BOIS,78340,43,1,10,2022-03-31
L ILE ST DENIS,93450,44,3,7,2022-06-17
COLOMBES,92700,45,3,8,2023-04-17
MONTATAIRE,60160,46,3,6,2023-06-21
MAISONS,28700,47,3,0,2023-08-28
SOISY SOUS MONTMORENCY,95230,48,3,9,2023-10-26
ROSNY SOUS BOIS,93110,49,3,4,2018-04-03
MAISONS ALFORT,94700,50,3,10,2018-06-09
VILLEPINTE,93420,51,2,10,2018-11-27
STAINS,93240,52,5,6,2019-04-12
PIERREFITTE SUR SEINE,93380,53,3,10,2019-06-08
SANNOIS,95110,54,3,9,2019-07-17
MAISONS ALFORT,94700,55,3,8,2019-09-09
SEVRAN,93270,56,3,6,2019-11-05
SARCELLES,95200,57,5,2,2019-12-17
VILLETANEUSE,93430,58,3,5,2020-02-06
VILLEPARISIS,77270,59,1,5,2020-04-28
